name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Dauer Schnellladung (ca.),Akku & Betriebszeiten,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Anzahl Tragegriffe,Handhabung & Komfort,INTEGER,False,PRODUCT_DETAILS,LOW,,,,,
Herstelleradresse (EWR) am Produkt,Product Compliance,STRING,False,,LOW,,"Produkt verfügt über eine Kennzeichnung mit der Herstelleradresse (EWR), Produkt verfügt nicht über eine Kennzeichnung mit der Herstelleradresse (EWR)",,,
Serie Technischer Name,Serie,STRING,False,,LOW,,"R100006, BPK-VCBB1XB, BPK-VCBB1XE",,,
Lieferzustand Batterien / Akkus,Product Compliance,STRING,False,,LOW,,"Akku im Produkt eingebaut, Batterien im Produkt eingebaut, Keine Batterien beigelegt, Akkus im Produkt eingebaut, Batterie im Produkt eingebaut",,,
Reinigungsgeschwindigkeit,Handhabung & Komfort,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Akkulaufzeit Stand-by,Akku & Betriebszeiten,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Top-Features,Top-Feature,STRING,True,PRODUCT_DETAILS,LOW,,"vSLAM™: Smart programmiert, gut orientiert - Mit der vSLAM™-Navigation lernt der Roboter das Layout Ihres Hauses und erstellt persönliche Smart Maps, mit denen er effizient in sauberen, geraden Bahnen fachmännisch reinigen und manövrieren kann., Fullview Sensor™ 2.0: umfassendes Scannen. Erkennt selbst sehr schmale oder kleine Hindernisse in weitläufigen Räumen. Das ermöglicht ihm, sicher und intelligent durch den Raum zu navigieren, und verringert tote Winkel., LaserSmart™-Technologie: scannt und kartiert das gesamtes Haus und erstellt einen Grundriss, dem der Roboter folgt. Er bewegt sich genauso, wie man es von einem intelligenten Roboter erwartet, in geraden Linien anstelle eines zufälligen Musters. Dank der Laser kann er sogar im Dunkeln reinigen., Nass / Trocken wischen, OZMO Technologie",,,
Anzahl Ultraschallsensoren,Handhabung & Komfort,INTEGER,False,PRODUCT_DETAILS,LOW,,,,,
Fassungsvermögen Nassschmutzbehälter,Technische Daten,STRING,False,PRODUCT_DETAILS,LOW,,"0,3, 0.350, 0,9",,,
Anzahl Akkus,Akku & Betriebszeiten,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Auswaschbare Teile,Reinigung & Pflege,STRING,True,PRODUCT_DETAILS,LOW,,"Staubbehälter, Filter, Mikrofasertücher",,,
Akkuherstellerbezeichnung,Akku & Betriebszeiten,STRING,False,PRODUCT_DETAILS,LOW,,"Li-Ion, Lithium-Ionen (Li-Ion), R-41059048, NI-MH 3000mAh, UR18650ZT-4S1P-AAF",,,
Art der Rollen,Handhabung & Komfort,STRING,True,PRODUCT_DETAILS,LOW,,"Gummirollen, 360°-Rollfahrwerk vorne, Softrollen, Lenkrollen",,,
