name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Eigenschaften,Produktdetails,STRING,False,PRODUCT_DETAILS,LOW,,"Anti-Rutsch-Beschichtung, pflegeleicht, geruchsneutral, für Allergiker geeignet, hygienisch",,,
Serie,Serie,STRING,False,,LOW,,,,,
Set-Info,Produktdetails,STRING,False,,LOW,,,,,
Warnhinweise,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"Bei Medikamenteneinnahme sollten Sie zuvor Ihren Arzt befragen., WARNUNG Lassen Sie ihr Kind nie unbeaufsichtigt., Achtung. Benutzung unter unmittelbarer Aufsicht von Erwachsenen., Dieses Produkt ist für ein Kind geeignet,das nicht selbstständig sitzen,sich herum-drehen und sich nicht auf seine Hände oder Knie hochstemmen kann. Maximales Gewicht des Kindes: 9 kg., Nicht aufgeblasene Ballons sind von Kindern fernzuhalten. Geplatzte Ballons sind unverzüglich zu entfernen.",,,
Besondere Merkmale,Produktdetails,STRING,False,TITLE,MEDIUM,,"100x120 cm, schwarz, zum Funkenschutz, 8 Pakete á 9 Stück, 50x50 cm, 4 Pakete á 9 Stück, 50x50 cm, Ø 460 mm, Ø 510 mm",,,
Oberflächenbearbeitung,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"gehämmert, ummantelt, gefräst, geriffelt, satiniert",,,
Wohnraum,Allgemein,STRING,True,,LOW,,"Werkstatt, Garten, Garage, Außenbereich",,,
Set-Typ,Produktdetails,STRING,False,,LOW,,"Set, Packung, Spar-Set",,,
Länge,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Material,Farbe & Material,STRING,False,"VARIATION_THEME, FILTER, PRODUCT_DETAILS",MEDIUM,,"Gummi, Ethylenvinylacetat (EVA), Edelstahl, Blech, Sicherheitsglas (ESG)",,,
Hinweis Maßangaben,Maße & Gewicht,STRING,False,PRODUCT_DETAILS,MEDIUM,,Alle Angaben sind ca.-Maße.,,,
Farbe,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,"schwarz, transparent, grau, grün, silber",,,
Breite,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Höhe,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Anzahl Teile,Produktdetails,INTEGER,False,VARIATION_THEME,LOW,,,,,
Grundfarbe,Farbe & Material,STRING,False,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Geschlecht,Produktdetails,STRING,False,NAVIGATION,MEDIUM,,,"neutral, männlich, weiblich",,
Zielgruppe,Produktdetails,STRING,False,NAVIGATION,MEDIUM,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
