name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Warnhinweise,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"Bei Medikamenteneinnahme sollten Sie zuvor Ihren Arzt befragen., WARNUNG Lassen Sie ihr Kind nie unbeaufsichtigt., Achtung. Benutzung unter unmittelbarer Aufsicht von Erwachsenen., Dieses Produkt ist für ein Kind geeignet,das nicht selbstständig sitzen,sich herum-drehen und sich nicht auf seine Hände oder Knie hochstemmen kann. Maximales Gewicht des Kindes: 9 kg., Nicht aufgeblasene Ballons sind von Kindern fernzuhalten. Geplatzte Ballons sind unverzüglich zu entfernen.",,,
Set-Info,Produktdetails,STRING,False,TITLE,LOW,,,,,
Gewicht Batterien / Akkus,Product Compliance,FLOAT,False,,LOW,,,,,
Typ Netzstecker,Stromversorgung,STRING,False,PRODUCT_DETAILS,LOW,,"Euroflachstecker (Typ C-CEE 7/16), Schutzkontaktstecker (Typ F-CEE 7/4), Konturenstecker (Typ C-CEE 7/17), Schutzkontaktstecker (Typ EF-CEE 7/7), kein Netzanschluss vorhanden",,,
Durchmesser,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Höhe,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Serie,Serie,STRING,False,,LOW,,"Lasize, LILLY, Goya, Louis, Ambiance",,,
Artikelhinweis,Hinweise,STRING,False,PRODUCT_DETAILS,MEDIUM,,"Alle Angaben sind ca.-Angaben, Verwenden Sie die Tenderflame-Produkte ausschließlich mit dem Original Sicherheitsbrennstoff. Der Brennstoff ""Tenderfuel"" ist schwer entflammbar (Flammpunkt 104 °C) und brennt nur am patentierten Edelstahldocht, Tenderfuel ist somit kein Gefahrstoff. Sollte Flüssigkeit auslaufen, brennt sie nicht weiter.",,,
Montagehinweise,Hinweise,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Selbstmontage mit Aufbauanleitung, fertig montiert, teilmontiert, Wandmontage erforderlich, bitte beachten Sie die Beschaffenheit Ihrer Wand und nutzen entsprechendes Montagematerial (nicht im Lieferumfang enthalten)., werkzeugfreie Montage",,,
Länge,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Breite,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Sprachen Bedienungs-/Aufbauanleitung,Hinweise,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Englisch (EN), Deutsch (DE), Französisch (FR), Italienisch (IT), Norwegisch (NO)",,,
Art Brennstoff,Produktdetails,STRING,False,PRODUCT_DETAILS,HIGH,,"Ethanol, Sicherheitsbrennstoff, Gas, Brennpaste, Flüssiggas",,,
Set-Typ,Produktdetails,STRING,False,TITLE,MEDIUM,,"Set, Packung, Spar-Set",,,
Gewicht,Maße & Gewicht,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Lieferumfang,Produktdetails,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Trichter, Feuerzeug, Glasplatte, Lavastein, Schlauch",,,
Wohnraum,Allgemein,STRING,True,,HIGH,,"Wohnzimmer, Außenbereich, Esszimmer, Garten, Büro",,,
Anzahl Teile,Produktdetails,INTEGER,False,"TITLE, VARIATION_THEME",MEDIUM,,,,,
Besondere Merkmale,Produktdetails,STRING,True,TITLE,MEDIUM,,"mit Bioethanol Brenner, mit Glasring,  mit Bioethanol Brenner, Tischfeuer , mit Einbaukasten rundum",,,
Material,Farbe & Material,STRING,False,"VARIATION_THEME, FILTER, PRODUCT_DETAILS",HIGH,,"Edelstahl, Materialmix, Glas, Stahl, Naturstein",,,
Farbe,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,"schwarz, weiß, grau, aluminiumfarben, altweiß",,,
Art Bedienung,Produktdetails,STRING,True,PRODUCT_DETAILS,LOW,,"Drehregler, Fernbedienung, Touch-Bedienung, Hebel",,,
Art Stromversorgung,Stromversorgung,STRING,True,PRODUCT_DETAILS,LOW,,"Netzanschluss, Solarbetrieb, externes Netzteil, Batteriebetrieb, Akku (fest eingebaut)",,,
Spannung,Stromversorgung,STRING,True,PRODUCT_DETAILS,LOW,,"220-240, 110, 230",,,
Oberflächenbeschichtung,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"pulverbeschichtet, verzinkt, verchromt, feuerverzinkt",,,
Fassungsvermögen,Produktdetails,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Geschlecht,Produktdetails,STRING,False,NAVIGATION,HIGH,,,"neutral, männlich, weiblich",,
Brenndauer,Produktdetails,FLOAT,False,PRODUCT_DETAILS,HIGH,,,,,
Grundfarbe,Farbe & Material,STRING,False,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Zielgruppe,Produktdetails,STRING,False,NAVIGATION,HIGH,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
