name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Set-Typ,Produktdetails,STRING,False,TITLE,LOW,,"Set, Packung, Spar-Set",,,
Set-Info,Produktdetails,STRING,False,TITLE,LOW,,,,,
Besondere Merkmale,Produktdetails,STRING,False,TITLE,LOW,,,,,
Serie,Serie,STRING,False,,LOW,,"Florenz, Gaby, Florida",,,
Herstellergarantie,Hinweise,STRING,False,PRODUCT_DETAILS,MEDIUM,,"5 Jahre gemäß den Garantie-Bedingungen, 7 Jahre gemäß den Garantie-Bedingungen, 6 Jahre gemäß den Garantie-Bedingungen, 8 Jahre gemäß den Garantie-Bedingungen, 10 Jahre gemäß den Garantie-Bedingungen",,,
Optik,Farbe & Material,STRING,False,PRODUCT_DETAILS,LOW,,Holzoptik,,,
Gewicht,Maßangaben,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Durchgangsbreite Front,Maßangaben,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Aufbauhinweise,Hinweise,STRING,False,PRODUCT_DETAILS,HIGH,,"Selbstmontage mit Aufbauanleitung, fertig montiert, teilmontiert",,,
Hinweis Maßangaben,Hinweise,STRING,False,PRODUCT_DETAILS,HIGH,,Alle Angaben sind ca.-Maße.,,,
Breite Sockelmaß,Maßangaben,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Material Dach,Farbe & Material,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Polyester, Nylon, Polyurethan (PU)",,,
Materialstärke Pfosten,Farbe & Material,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Tiefe Sockelmaß,Maßangaben,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Höhe Durchgang,Maßangaben,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Material Gestell,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,"Aluminium, Stahl, Holz, Kunststoff",,,
Grundform,Produktdetails,STRING,False,PRODUCT_DETAILS,HIGH,,"rechteckig, quadratisch, oval, achteckig, viereckig",,,
Anzahl Pfosten,Produktdetails,INTEGER,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Breite Außenmaß,Maßangaben,FLOAT,False,"TITLE, PRODUCT_DETAILS",HIGH,,,,,
Tiefe Außenmaß,Maßangaben,FLOAT,False,"TITLE, PRODUCT_DETAILS",HIGH,,,,,
Höhe First,Maßangaben,FLOAT,False,"TITLE, PRODUCT_DETAILS",HIGH,,,,,
Farbe Dach,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,"hellbraun, sandfarben, grau, weiß, anthrazit",,,
Farbe Gestell,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,"anthrazit, weiß, hellbraun, braun, dunkelbraun",,,
Oberflächenbeschichtung,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,"pulverbeschichtet, verzinkt, verchromt, feuerverzinkt",,,
Geschlecht,Allgemein,STRING,False,NAVIGATION,MEDIUM,,,"neutral, männlich, weiblich",,
Grundfarbe,Farbe & Material,STRING,True,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
