name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Set-Typ,Produktdetails,STRING,False,,LOW,,"Set, Packung, Spar-Set",,,
Besondere Merkmale,Artikelbezeichnung,STRING,False,TITLE,LOW,,"mit Zubehör, mit Buch und CD",,,
Serie Technischer Name,Serie,STRING,False,,MEDIUM,,15_1_Hage_Cascha Violine,,,
Serie,Serie,STRING,False,,LOW,,,,,
Set-Info,Produktdetails,STRING,False,,LOW,,,,,
Warnhinweise,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,,,,
Lieferumfang,Produktdetails,STRING,True,PRODUCT_DETAILS,HIGH,,"Bogen, Kolophonium, Tasche, Etui, Schulterstütze",,,
Größe,Produktdetails,STRING,False,"TITLE, VARIATION_THEME, PRODUCT_DETAILS",HIGH,,"4/4, 1/2, 1/4, 3/4, 1/8",,,
Farbe,Produktdetails,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,"holzfarben, Braun, Blau, Schwarz, rot",,,
Material Kinnhalter,Material,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Ebenholz, Kunststoff, Akazienholz, Flaxwood, Blackwood",,,
Material Korpus,Material,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Ahornholz, Akazienholz, Flaxwood, Blackwood, Erlenholz",,,
Material Bogen,Material,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Ebenholz, Akazienholz, Flaxwood, Blackwood, Ahornholz",,,
Material Decke,Material,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Fichtenholz, Akazienholz, Flaxwood, Blackwood, Ahornholz",,,
Material Griffbrett,Material,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Ebenholz, Hartholz, Akazienholz, Flaxwood, Blackwood",,,
Anzahl Saiten,Produktdetails,INTEGER,True,PRODUCT_DETAILS,LOW,,,,,
Oberflächenbehandlung,Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,"hochglänzend lackiert, melaminbeschichtet, naturbelassen, gelaugt geölt, glänzend lackiert",,,
Material Hals,Material,STRING,True,PRODUCT_DETAILS,LOW,,"Ahornholz, Akazienholz, Flaxwood, Blackwood, Erlenholz",,,
Händigkeit,Produktdetails,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"rechts, links",,,
Geschlecht,Allgemein,STRING,False,NAVIGATION,HIGH,,,"neutral, männlich, weiblich",,
Grundfarbe,Farbe,STRING,True,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Zielgruppe,Produktdetails,STRING,True,NAVIGATION,HIGH,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
Altersempfehlung,Hinweise,STRING,False,PRODUCT_DETAILS,LOW,,,"ab 15 Jahren, ab 11 Jahren, ab 6 Monaten, ab 12 Monaten, ab 13 Jahren, ab 10 Jahren, ab 12 Jahren, ab 14 Jahren, ab 16 Jahren, für Erwachsene, ab 17 Jahren, ab 18 Jahren, ab 18 Monaten, ab 3 Monaten, ab 4 Jahren, ab 9 Monaten, ab 3 Jahren, Es liegt keine Altersempfehlung vor, ab 5 Jahren, ab 2 Jahren, ab 6 Jahren, ab 7 Jahren, ab 8 Jahren, ab 9 Jahren, ab Geburt",,
