name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Set-Typ,Produktdetails,STRING,False,,LOW,,"Set, Packung, Spar-Set",,,
Warnhinweise,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"Bei Medikamenteneinnahme sollten Sie zuvor Ihren Arzt befragen., WARNUNG Lassen Sie ihr Kind nie unbeaufsichtigt., Achtung. Benutzung unter unmittelbarer Aufsicht von Erwachsenen., Dieses Produkt ist für ein Kind geeignet,das nicht selbstständig sitzen,sich herum-drehen und sich nicht auf seine Hände oder Knie hochstemmen kann. Maximales Gewicht des Kindes: 9 kg., Nicht aufgeblasene Ballons sind von Kindern fernzuhalten. Geplatzte Ballons sind unverzüglich zu entfernen.",,,
Set-Info,Produktdetails,STRING,False,,LOW,,,,,
Besondere Merkmale,Produktdetails,STRING,False,TITLE,LOW,,"3,5 x 4,25 Zoll Premium-Zink-Fotopapier, 3er Set Bienenwachstücher - Bio Frischhaltefolie klein medium groß - Eco Bee Wraps aus Bienenwachs - für Brot Sandwich Käse",,,
Farbe,Farbe,STRING,False,"VARIATION_THEME, TOPINFO, PRODUCT_DETAILS",MEDIUM,,"weiß, gelb, rosa, hellblau, zyklam",,,
Breite,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Höhe,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Gesamtgewicht Packung,Maße & Gewicht,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Anzahl Teile,Produktdetails,INTEGER,False,VARIATION_THEME,MEDIUM,,,,,
Sprachen Bedienungs-/Aufbauanleitung,Hinweise,STRING,True,,LOW,,"Deutsch (DE), Französisch (FR), Italienisch (IT), Norwegisch (NO), Litauisch (LT)",,,
Sprachen Warnhinweise,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Französisch (FR), Italienisch (IT), Norwegisch (NO), Litauisch (LT)",,,
Geeignet für,Eigenschaften,STRING,True,PRODUCT_DETAILS,LOW,,"Fotodrucker, Tintenstrahldrucker, Plotter, Etikettendrucker, Registrierkassen",,,
Beschichtung,Eigenschaften,STRING,True,PRODUCT_DETAILS,LOW,,"hochglänzend, selbstklebend, matt, unbeschichtet",,,
Grundfarbe,Farbe,STRING,False,FILTER,MEDIUM,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Zielgruppe,Produktdetails,STRING,False,NAVIGATION,MEDIUM,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
Geschlecht,Produktdetails,STRING,False,NAVIGATION,MEDIUM,,,"neutral, männlich, weiblich",,
