name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Tiefe,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Set-Typ,Produktdetails,STRING,False,TITLE,LOW,,"Set, Spar-Set",,,
Serie,Serie,STRING,False,PRODUCT_DETAILS,LOW,,"Capri, now! easy",,,
Serie Technischer Name,Serie,STRING,False,,LOW,,"Holzzone Capri, Jaka BKL Zubehör, Huelsta now! easy",,,
Set-Info,Produktdetails,STRING,False,TITLE,LOW,,,,,
Materialstärke,Maßangaben,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Lochdurchmesser,Maße & Gewicht,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Besondere Merkmale,Produktdetails,STRING,False,TITLE,HIGH,,"für Dorn Ø 13 mm Länge 600 mm Edelstahl A2, verstellbar Dorn Ø 16 mm Stahl verzinkt, verstellbar Dorn Ø 13 mm Stahl verzinkt, 39 X 200 X 34 X 2,75 mm Edelstahl A2, halbschwer für Dorn Ø 13 mm Länge 700 mm Stahl verzinkt",,,
Länge Stift,Maßangaben,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Gewicht,Maßangaben,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Höhe,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Wohnraum,Allgemein,STRING,True,,MEDIUM,,"Outdoor, Küche, Flur, Schlafzimmer, Arbeitszimmer",,,
Anzahl Teile,Produktdetails,INTEGER,False,"TITLE, VARIATION_THEME",LOW,,,,,
Materialzusammensetzung,Material,STRING,False,PRODUCT_DETAILS,LOW,,,,,
Hinweis Zubehör,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"Befestigungsmaterial, 2 Montagewinkel",,,
Markeninformationen,Produktdetails,STRING,False,PRODUCT_DETAILS,LOW,,"now! by hülsta macht glücklich. Mit den ultraflexiblen und trendigen Möbeln, die sich immer wieder neu arrangieren lassen, hast Du die Freiheit, deinem Wohnraum mit wenig Aufwand ein neues Outfit zu verpassen. Mit now! kommt das Rundum Sorglos Paket: Die made in Germany Möbel von now! by hülsta sind mit dem »Goldenen M« ausgezeichnet und verfügen ebenso über den »Blauer Engel« Siegel. Die Qualität steht bei hülsta an der ersten Stelle, daher gibt es auch bei now! eine verlängerte Hersteller-Garantie.",,,
Lieferzustand,Lieferung & Montage,STRING,False,PRODUCT_DETAILS,LOW,,"zerlegt, teilmontiert, nur Füße zu montieren, teilmontiert, nur einhaken und Füße montieren, montiert, teilmontiert,nur einhaken und Füße montieren",,,
Relevanz Batteriegesetz,Product Compliance,STRING,False,,LOW,,"Produkt fällt nicht unter das Batteriegesetz, Produkt fällt unter das Batteriegesetz",,,
CE-Kennzeichnung am Produkt,Product Compliance,STRING,False,,LOW,,"Produkt verfügt nicht über eine CE-Kennzeichnung, Produkt verfügt über eine CE-Kennzeichnung",,,
Relevanz CE-Pflicht,Product Compliance,STRING,False,,LOW,,"Produkt fällt nicht unter die CE-Pflicht, Produkt fällt unter die CE-Pflicht",,,
Oberflächenbeschichtung,Optik/Stil,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"verzinkt, furniert, melaminharzbeschichtet, PCV-Tiefziehfront, melaminbeschichtet",,,
Sprachen Bedienungs-/Aufbauanleitung,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Französisch (FR), Italienisch (IT), Norwegisch (NO), Litauisch (LT)",,,
Relevanz Energieverbrauchskennzeichnungsverordnung,Product Compliance,STRING,False,,LOW,,"Produkt fällt nicht unter die Energieverbrauchskennzeichnungsverordnung, Produkt fällt unter die Energieverbrauchskennzeichnungsverordnung",,,
Lieferumfang,Lieferung & Montage,STRING,True,PRODUCT_DETAILS,MEDIUM,,"1 Stück Pfostenkappen mit Kugel 70 X 70 mm, 50 Meter Windrispenband Rolle 40 mm X 1,5 mm, 1 Stück Kreuzgehänge A2 39 X 300 X 34 X 2,75 mm Edelstahl A2, 1 Stück Ladenband schwer 16 / 700 mm, 1 Stück Fensterladenfeststeller zum Schrauben 120 mm",,,
Relevanz Gefahrgut,Product Compliance,STRING,False,,LOW,,"Produkt fällt nicht unter die Gefahrgutvorschriften., Produkt fällt unter die Gefahrgutvorschriften., Produkt fällt unter die Gefahrgutvorschriften gemäß Sicherheitsdatenblatt (Abschnitt 14).",,,
Einsatzgebiete,Allgemein,STRING,True,NAVIGATION,LOW,,"Dunstabzugshauben, Geschirrspüler, Bügeleisen, Kaffeemaschinen, Saugroboter",,"Dunstabzugshauben, Geschirrspüler, Kühlschrank",
Relevanz WEEE-Richtlinie,Product Compliance,STRING,False,,LOW,,"Produkt fällt nicht unter die WEEE-Richtlinie, Produkt fällt unter die WEEE-Richtlinie",,,
Typ Netzstecker,Product Compliance,STRING,False,,LOW,,"kein Netzanschluss vorhanden, Netzdirektanschluss, CEE-Drehstromstecker, Schutzkontaktstecker (Typ F-CEE 7/4), Konturenstecker (Typ C-CEE 7/17)",,,
Produktkennzeichnungen,Product Compliance,STRING,True,,LOW,,"Typennummer, Artikelnummer, Seriennummer, Kennnummer der Partie, Rahmennummer",,,
Herstelleradresse (EWR) am Produkt,Product Compliance,STRING,False,,LOW,,"Produkt verfügt über eine Kennzeichnung mit der Herstelleradresse (EWR), Produkt verfügt nicht über eine Kennzeichnung mit der Herstelleradresse (EWR)",,,
Ergänzende Maßangaben,Maßangaben,STRING,False,PRODUCT_DETAILS,LOW,,"Für die Möbelbreiten 64 cm und 128 cm, 2 Gewindestangen: Ø 10mm, Länge 140mm + Wanddübel: Ø 14mm, Länge 75mm, 2 Unterlegscheiben: innen Ø 11mm, außen Ø 30mm + Buchse: innen Ø 10mm, außen Ø 36mm, 2 Muttern: Ø 10mm",,,
Hinweis Maßangaben,Hinweise,STRING,False,PRODUCT_DETAILS,MEDIUM,,Alle Angaben sind ca.-Maße.,,,
Breite,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
