name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Serie,Serie,STRING,False,,LOW,,KÜCHENminis,,,
Materialeigenschaften Behälter,Farbe & Material,STRING,True,PRODUCT_DETAILS,LOW,,"geruchsneutral, bruchsicher, auslaufsicher, wasserdicht, geschmacksneutral",,,
Besondere Merkmale,Artikelbezeichnung,STRING,False,TITLE,LOW,,"mit 12 Glas-Joghurtbechern, mit LCD-Display und 8 Joghurtbechern",,,
Eigenschaften Behälterdeckel,Handhabung & Komfort,STRING,True,PRODUCT_DETAILS,LOW,,"Schraubverschluss, wiederbeschreibbar, Datumsanzeige, unterschiedliche Farben, luftdicht",,,
Mitgeliefertes Zubehör,Ausstattung,STRING,True,PRODUCT_DETAILS,LOW,,"6 Portionsgläser aus Gals mit Schraubdeckel, Rezeptheft, 2 spezielle Käse-Tropfschalen, Korb für griechischen Joghurt, Korb für klassischen Joghurt mit Multifunktionsdeckel, Korb für Käse, Spatel, Rezeptbuch, 2 Glasbehälter á 250ml",,,
Produktionszyklus,Technische Daten,STRING,False,PRODUCT_DETAILS,LOW,,"12, 6-8, 2, 1-24, 8 - 10",,,
Timer mit maximaler Zeitvorwahl,Programme & Funktionen,INTEGER,False,PRODUCT_DETAILS,LOW,,,,,
Temperatur maximal,Technische Daten,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Kabellänge,Technische Daten,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Art Füße,Handhabung & Komfort,STRING,False,PRODUCT_DETAILS,LOW,,"Anti-Rutsch-Füße, Gummisaugfüße",,,
Weitere Vorteile,Allgemein,STRING,True,PRODUCT_DETAILS,HIGH,,"Ausgestattet mit praktischerKabelaufwicklung, für eineeinfache Verstauung., Transparenter Deckel mit praktischer Memo-Skalaermöglicht ein Beobachten des Fermentierprozesses., Temperaturleuchte: Leuchtet durchgehend wenn die Temperatur eingestellt wurde., Sie können den fertigen Joghurt in den Portionsgläsern einfach im Kühlschrank aufbewahren, Das mitgelieferte Rezeptheft bietet Anregungen für leckere und einfache Joghurtrezepte.",,,
Fassungsvermögen gesamt,Verarbeitungsmengen,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Displaytechnologie,Handhabung & Komfort,STRING,False,PRODUCT_DETAILS,LOW,,"LCD-Display, LED-Display, TFT-Farbdisplay",,,
Top-Features,Top-Feature,STRING,True,PRODUCT_DETAILS,MEDIUM,,"1,4 Liter Gesamtvolumen: Insgesamt können 1,4 Liter Joghurt hergestellt werden., 8 Glas-Joghurtbecher mit Deckel: Die 8 Joghurtbecher bestehen aus Glas und werden mit einem Kunststoffdeckel verschlossen. Die Gläser haben eine Füllmenge von je 180 ml., LECKERER UND GESUNDER JOGHURT. EINFACH UND UNKOMPLIZIERT SELBST GEMACHT., LECKERER UND GESUNDER JOGHURT. EINFACH UND UNKOMPLIZIERT SELBST GEMACHT.DANK 14 GLÄSER AUCH IN GROSSEN MENGEN., Mit diesem multifunktionalen Joghurt- und Frischkäsebereiter können Naturjoghurt, Frischkäse und auch Kräuterextrakte hergestellt werden. Das Gerät verfügt über vier voreingestellte Programme: Naturjoghurt 42 °C, Joghurt vegan/laktosefrei 38 °C, Frischkäse 30 °C, Kräuter-Extrakt 55 °C. Die Programme lassen sich zudem individuell anpassen, so dass man sogar Sauerteig herstellen kann.",,,
Breite,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Anzahl Behälter,Ausstattung,INTEGER,False,"TITLE, PRODUCT_DETAILS",HIGH,,,,,
Ausstattung,Ausstattung,STRING,True,PRODUCT_DETAILS,LOW,,"Ein-/Ausschalter, Timer mit Endabschaltung, beleuchteter Ein-/Ausschalter, Restzeitanzeige",,,
Sprachen Bedienungs-/Aufbauanleitung,Wissenswertes,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Deutsch (DE), Englisch (EN), Französisch (FR), Italienisch (IT), Niederländisch (NL)",,,
Kabelaufbewahrung,Handhabung & Komfort,STRING,False,PRODUCT_DETAILS,LOW,,"Kabelaufwicklung, Kabelaufrollautomatik, Kabelstaufach, Kabel abnehmbar",,,
Gewicht,Maße & Gewicht,FLOAT,False,PRODUCT_DETAILS,HIGH,,,,,
Betriebsart,Handhabung & Komfort,STRING,False,PRODUCT_DETAILS,HIGH,,"elektrisch, manuell",,,
Leistung,Technische Daten,INTEGER,False,PRODUCT_DETAILS,HIGH,,,,,
Material Gehäuse,Farbe & Material,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Kunststoff, Edelstahl, Stahlblech, Cromargan®-Edelstahl, Metall",,,
Farbe,Farbe & Material,STRING,False,"VARIATION_THEME, TOPINFO, PRODUCT_DETAILS",HIGH,,"weiß, edelstahlfarben, grau, schwarz, silberfarben",,,
Höhe,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Eigenschaften Gerätedeckel,Handhabung & Komfort,STRING,True,PRODUCT_DETAILS,LOW,,"abnehmbar, transparent, mit Griff, Sicherheitsverriegelung",,,
Tiefe,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Fassungsvermögen Behälter,Verarbeitungsmengen,FLOAT,False,"TITLE, PRODUCT_DETAILS",HIGH,,,,,
Zeitfunktionen,Programme & Funktionen,STRING,True,PRODUCT_DETAILS,LOW,,"Timerfunktion, Abschaltautomatik",,,
Art Bedienung,Handhabung & Komfort,STRING,True,PRODUCT_DETAILS,LOW,,"Drucktasten, Drehregler, Touch-Bedienung, Schieberegler",,,
Temperaturregler,Handhabung & Komfort,STRING,True,PRODUCT_DETAILS,LOW,,"elektrisch, stufenlos, manuell",,,
Material Behälter,Farbe & Material,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Glas, Kunststoff, Tritan",,,
Sprachen CE-Konformitätserklärung,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Französisch (FR), Italienisch (IT), Norwegisch (NO), Litauisch (LT)",,,
Kontrollleuchten,Programme & Funktionen,STRING,True,PRODUCT_DETAILS,LOW,,Betriebskontrollleuchte,,,
Erinnerungen,Programme & Funktionen,STRING,True,PRODUCT_DETAILS,LOW,,akustisches Signal bei Programmende,,,
Schutzfunktionen,Programme & Funktionen,STRING,True,PRODUCT_DETAILS,LOW,,"Überhitzungsschutz, Kindersicherung",,,
Sprachen Warnhinweise,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Französisch (FR), Italienisch (IT), Norwegisch (NO), Litauisch (LT)",,,
Pflegehinweise,Reinigung & Pflege,STRING,True,PRODUCT_DETAILS,MEDIUM,,"nur Zubehör spülmaschinengeeignet, spülmaschinengeeignet, teilweise spülmaschinengeeignet, nicht spülmaschinengeeignet",,,
Sprachen am Produkt,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Französisch (FR), Italienisch (IT), Norwegisch (NO), Litauisch (LT)",,,
Geschlecht,Allgemein,STRING,False,NAVIGATION,HIGH,,,"neutral, männlich, weiblich",,
Grundfarbe,Farbe & Material,STRING,False,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Zielgruppe,Allgemein,STRING,False,NAVIGATION,MEDIUM,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
