name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Anzahl Teile,Produktdetails,INTEGER,False,VARIATION_THEME,LOW,,,,,
Kabellänge,Technische Daten,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Serie Technischer Name,Serie,STRING,False,,LOW,,15_1_Globale D DJ,,,
Set-Typ,Produktdetails,STRING,False,,LOW,,"Set, Packung, Spar-Set",,,
Serie,Serie,STRING,False,,LOW,,,,,
Set-Info,Produktdetails,STRING,False,,LOW,,,,,
Besondere Merkmale,Produktdetails,STRING,False,TITLE,LOW,,"inkl. 2 TB Festplatte, Digitaler Vorlesestift",,,
Gewicht,Maße & Gewicht,INTEGER,False,PRODUCT_DETAILS,LOW,,,,,
Lieferumfang,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"HDMI-Kabel, einstellbarer Ständer, hohe und niedrige Montageklammer, USB-Verbindungskabel, Quick Start Guide",,,
Breite,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Höhe,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Art Aufzeichnung,Technische Daten,STRING,False,PRODUCT_DETAILS,LOW,,"digital, analog",,,
Tiefe,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Typ Anschluss,Anschlüsse,STRING,True,PRODUCT_DETAILS,LOW,,"HDMI, USB, VGA, LAN, Mikrofon",,,
Art Bedienung,Produktdetails,STRING,True,PRODUCT_DETAILS,LOW,,"Drucktasten, Kippschalter, Drehregler, Touch-Bedienung, Sensortasten",,,
Art Stromversorgung,Stromversorgung,STRING,True,PRODUCT_DETAILS,LOW,,"Batterie, USB-Anschluss, Solarbetrieb, Akku, Dynamo",,,
Farbe,Farbe & Material,STRING,False,"VARIATION_THEME, TOPINFO, PRODUCT_DETAILS",HIGH,,"schwarz, blau, hellblau, zyklam, edelstahlfarben",,,
Sprache Menüführung,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"Deutsch, Niederländisch, Englisch, Spanisch, Italienisch",,,
Funktionen,Produktdetails,STRING,False,"VARIATION_THEME, FILTER, NAVIGATION, SEARCH, PRODUCT_DETAILS",MEDIUM,,"Streaming, 8-Spur-Digital-Studio, Pitch Shift, Tempo Shift, Graphic Equalizer",,Streaming,
Geschlecht,Produktdetails,STRING,False,NAVIGATION,MEDIUM,,,"neutral, männlich, weiblich",,
Grundfarbe,Farbe & Material,STRING,False,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Zielgruppe,Produktdetails,STRING,False,NAVIGATION,MEDIUM,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
