name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Breite,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Farbe,Farbe & Material,STRING,False,"VARIATION_THEME, TOPINFO, PRODUCT_DETAILS",HIGH,,"weiß, chromfarben, schwarz, silberfarben, grau",,,
Material Gestell,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,"Aluminium, Kunststoff, Edelstahl, Metall, Holz",,,
Tiefe,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Höhe,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,,,,
Holzart,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"Bambus, Cedro, Weide, Almendro, Rattan",,,
Höhe maximal,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Höhe minimal,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Benutzergewicht maximal,Hinweise,INTEGER,False,"TITLE, PRODUCT_DETAILS",HIGH,,,,,
Besondere Merkmale,Artikelbezeichnung,STRING,False,TITLE,MEDIUM,,"weiß, rutschfester Stand, belastbar bis 120 kg, Badezimmer Hocker, 120 kg Tragkraft",,,
Ausstattung,Produktdetails,STRING,True,PRODUCT_DETAILS,HIGH,,"Wasserablaufrillen, Anti-Rutsch-Füße, Standfüße mit Gummikappen, Hygieneausschnitt vorn, Ablage",,,
Art Montage,Hinweise,STRING,True,PRODUCT_DETAILS,MEDIUM,,"an der Wand, werkzeugfrei, fertig montiert, mit Werkzeug montierbar, Saugnäpfe",,,
Eigenschaften,Produktdetails,STRING,True,PRODUCT_DETAILS,MEDIUM,,"klappbar, rutschsicher, ergonomisch geformt, höhenverstellbar, UV-beständig",,,
Eignung,Produktdetails,STRING,True,PRODUCT_DETAILS,MEDIUM,,"bewegungseingeschränkte Personen, Senioren, druckempfindliche Personen, kleine Kinder",,,
Einsatzbereich,Produktdetails,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Dusche, Vollbad, Teilbad",,,
Material Sitzfläche,Farbe & Material,STRING,True,PRODUCT_DETAILS,MEDIUM,,"Kunststoff, PU-Schaum, Polypropylen, Holz, Edelstahl Rostfrei",,,
Serie,Serie,STRING,False,,MEDIUM,,"Secura, Serie 500, Vivawell, Secura Premium, Comfort",,,
Breite zusammengeklappt,Maßangaben,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Durchmesser Sitzfläche,Maßangaben,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Eigenschaften Sitzfläche,Produktdetails,STRING,True,PRODUCT_DETAILS,LOW,,"ergonomisch geformt, rutschsicher, kantenlos, antibakteriell",,,
Gewicht,Maßangaben,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Hinweis Montage,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,Das beigefügte Montagematerial ist geeignet für eine Befestigung an Vollziegel M20 oder Armiertem Beton. Bei anderen Wandtypen muss eine Fachfirma für Befestigungstechnik hinzugezogen werden!,,,
Lieferumfang,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"Montagematerial, Montageanleitung, Stellschrauben, Montagewerkzeug, Rückenlehne",,,
Set-Info,Artikelbezeichnung,STRING,False,,LOW,,,,,
Set-Typ,Artikelbezeichnung,STRING,False,,LOW,,"Set, Spar-Set",,,
Sitzbreite,Maßangaben,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Sitzhöhe,Maßangaben,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Sitzhöhe maximal,Maßangaben,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Sitzhöhe minimal,Maßangaben,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Sitztiefe,Maßangaben,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Tiefe zusammengeklappt,Maßangaben,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Verstellbarkeit Sitzhöhe,Produktdetails,STRING,False,PRODUCT_DETAILS,LOW,,"mehrfach verstellbar, 5-fach verstellbar, 7-fach verstellbar, 4-fach verstellbar, 6-fach verstellbar",,,
Pflegehinweise,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"abwaschbar, desinfizierbar, keine ätzenden Chemikalien zur Reinigung verwenden, abwischbar, keine kratzenden Gegenstände zur Reinigung verwenden",,,
Geschlecht,Allgemein,STRING,False,NAVIGATION,HIGH,,,"neutral, männlich, weiblich",,
Grundfarbe,Farbe & Material,STRING,True,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Zielgruppe,Allgemein,STRING,False,NAVIGATION,HIGH,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
