name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Serie,Serie,STRING,False,PRODUCT_DETAILS,LOW,,"Flora, Stilla, Polar, Polygono Star, NONA",,,
Oberflächenoptik,Optik/Stil,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"matt, glänzend, seidenmatt, Klavierlackoptik, hochglänzend",,,
Set-Info,Produktdetails,STRING,False,TITLE,LOW,,"bestehend aus 1x Vase, 1x Pflanzschale, 1x Vase Höhe 17 cm + 1x Vase Höhe 21 cm, 3, 1x Vase, 1x Pflanzkübel",,,
Materialzusammensetzung,Material,STRING,False,PRODUCT_DETAILS,LOW,,,,,
Lieferzustand,Lieferung & Montage,STRING,False,PRODUCT_DETAILS,LOW,,"montiert, teilmontiert, nur Füße zu montieren, teilmontiert, nur einhaken und Füße montieren, zerlegt, teilmontiert,nur einhaken und Füße montieren",,,
Set-Typ,Produktdetails,STRING,False,TITLE,LOW,,"Set, Spar-Set",,,
Serie Technischer Name,Serie,STRING,False,,LOW,,"Hacienda154, MS#012159 Joop!, MS#014539 Fink, 15.4.05.13.Macula, 15.4.05.13.Bruna",,,
Lieferumfang,Lieferung & Montage,STRING,True,PRODUCT_DETAILS,LOW,,"1x Vase, 1x Vase - Ø 10 cm - Höhe 7,5 cm, 1x Vase schmal - 12 x 22 cm, 1x Vase - Ø 6 cm - Höhe 12,5 cm, 1x Vase, Höhe 24 cm",,,
Gewicht,Maßangaben,FLOAT,True,PRODUCT_DETAILS,LOW,,,,,
Pflegehinweise,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"feucht abwischbar, Bitte beachten Sie die Pflegehinweise gemäß dem beiliegenden Produkt- und Materialpass., trocken abwischbar, pflegeleicht",,,
Anzahl Teile,Produktdetails,INTEGER,False,"TITLE, VARIATION_THEME",LOW,,,,,
Ergänzende Maßangaben,Maßangaben,STRING,False,PRODUCT_DETAILS,LOW,,"Durchmesser 5 cm, Vasenöffnung ca. 15 cm, Vasenöffnung ca. 9 cm, Vase klein Ø/H ca. 15,5 cm x 20 cm, Vase groß Ø/H ca. 18,5 cm x 25 cm, einzeln: 35 x 25 x 20cm, 65 x 50 x 20cm, 35 x 25 x 20cm, 60 x 52 x 20cm",,,
Herstellergarantie,Wissenswertes,STRING,False,PRODUCT_DETAILS,LOW,,"2 Jahre gemäß den Garantie-Bedingungen, 8  Jahre gemäß den Garantie-Bedingungen, 5 Jahre gemäß den Garantie-Bedingungen, 6 Jahre gemäß den Garantie-Bedingungen, 10 Jahre gemäß den Garantie-Bedingungen",,,
Art Herstellung,Wissenswertes,STRING,False,PRODUCT_DETAILS,LOW,,"handgefertigt, maschinell",,,
Herstelleradresse (EWR) am Produkt,Product Compliance,STRING,False,,LOW,,"Produkt verfügt über eine Kennzeichnung mit der Herstelleradresse (EWR), zu bearbeiten, Produkt verfügt nicht über eine Kennzeichnung mit der Herstelleradresse (EWR)",,,
Besondere Merkmale,Produktdetails,STRING,False,TITLE,LOW,,"hochwertige Verarbeitung, handbemalt mit Fusingglas-Elementen, COUCH Lieblingsstücke, Höhe ca. 25 cm, aus Glas",,,
Markeninformationen,Produktdetails,STRING,False,PRODUCT_DETAILS,LOW,,"Seit 2001 begeistert uns Home affaire mit Landhausmöbeln zum Verlieben. Ob modern, romantisch oder natürlich traditionell – der Fantasie für wunderschönes Einrichten sind kaum Grenzen gesetzt.",,,
Breite,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Tiefe,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Motiv,Optik/Stil,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"Medusa, gestreift, Blatt",,,
Hinweis Zubehör,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,nicht wasserdicht,,,
Hinweis Lieferumfang,Lieferung & Montage,STRING,True,PRODUCT_DETAILS,LOW,,Lieferung erfolgt ohne Dekoration,,,
Sprachen Warnhinweise,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Französisch (FR), Italienisch (IT), Norwegisch (NO), Litauisch (LT)",,,
Oberflächenbehandlung,Optik/Stil,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"lackiert, antikisiert, lasiert, bedruckt, gelaugt",,,
Oberflächenbearbeitung,Optik/Stil,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"geriffelt, gebürstet, ummantelt, gefräst, geschliffen",,,
Anlässe,Allgemein,STRING,True,,LOW,,"Weihnachten, Geburtstag, Festtag, Valentinstag, Geburt",,,
Produktkennzeichnungen,Product Compliance,STRING,True,,LOW,,"Artikelnummer, Seriennummer, Kennnummer der Partie, Rahmennummer, Typennummer",,,
Durchmesser,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Themen,Allgemein,STRING,True,,LOW,,"Wohnidee-Haus, Erste eigene Wohnung",,,
Material,Material,STRING,False,"VARIATION_THEME, FILTER, PRODUCT_DETAILS",LOW,,"Glas, Porzellan, Keramik, Metall, Aluminium",,,
Farbe,Farbe,STRING,False,"VARIATION_THEME, TOPINFO, PRODUCT_DETAILS",HIGH,,"weiß, transparent, bunt, silberfarben, grün",,,
Höhe,Maßangaben,FLOAT,False,"VARIATION_THEME, TOPINFO, PRODUCT_DETAILS",HIGH,,,,,
Wohnstil,Allgemein,STRING,True,PRODUCT_DETAILS,LOW,,"Modern, modern, klassisch, Landhaus, Klassik",,,
Wohnraum,Allgemein,STRING,True,,LOW,,"Wohnzimmer, Flur, Esszimmer, Küche, Schlafzimmer",,,
Geschlecht,Allgemein,STRING,False,NAVIGATION,LOW,,,"neutral, männlich, weiblich",,
Grundfarbe,Farbe,STRING,True,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Zielgruppe,Allgemein,STRING,True,NAVIGATION,LOW,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
