name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Serie Technischer Name,Serie,STRING,False,,LOW,,"MS#004572 Genius, MS#014096 BLOMUS, MS#001720 Continenta, 15_1_Skip Hop Einhorn, MS#014638 THERMOS",,,
Serie,Serie,STRING,False,,LOW,,"Zoo, Gastronorm, Timer-Linie, Clip & Close, Adventure",,,
Höhe (minimal),Maßangaben,FLOAT,True,PRODUCT_DETAILS,LOW,,,,,
Lieferumfang,Produktdetails,STRING,True,PRODUCT_DETAILS,LOW,,"Inkl. manueller Vakuumpumpe, Multibesteck, Warmhaltebehälter, Besteckhalter, Brotdose ca. 450 ml mit Deckel",,,
Warnhinweise,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"Thermoschüsseln nicht in die Mikrowelle, da Innenschüssel aus Edelstahl. Die Schüsseln lassen sich durch einen Drehmechanismus im Deckel verschließen. Thermoschüsseln nicht in die Spülmaschine. Bitte mit mildem Spülmittel auswaschen. Hitze- und Kältebeständig (von -12 °C bis + 95 °C Einfülltemperatur), Vor Gebrauch mit warmen oder kaltem Wasser ausspülen, dies verlängert den Wärme- bzw. Kühleffekt.",,,
Anlässe,Allgemein,STRING,True,,LOW,,"Geburtstag, Geburt, Weihnachten, Festtag, Ostern",,,
Durchmesser,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Höhe (maximal),Maßangaben,FLOAT,True,PRODUCT_DETAILS,LOW,,,,,
Sprachen CE-Konformitätserklärung,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Französisch (FR), Schwedisch (SV), Italienisch (IT), Litauisch (LT)",,,
Hitzebeständigkeit,Produktdetails,STRING,True,PRODUCT_DETAILS,LOW,,"bis 100°C, bis 95°C, bis 120°C, bis 250°C, backofenfest",,,
Besondere Merkmale,Artikelbezeichnung,STRING,False,TITLE,LOW,,"Inkl. Buttermesser und Glaseinsatz, Handarbeit, mit Multibesteck, versilbert, 470 ml",,,
Fassungsvermögen,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Set-Info,Artikelbezeichnung,STRING,True,TITLE,LOW,,"1 x 1,5L, 1 x 2,4L, 1 x Vorratsglas, 1 x Becher, 1 x Konservendeckel, 4 x 0,9L, Frischhaltedosen im 12er Set",,,
Anzahl Fächer,Produktdetails,INTEGER,False,PRODUCT_DETAILS,LOW,,,,,
Länge,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
CE-Kennzeichnung am Produkt,Product Compliance,STRING,False,,LOW,,"Produkt verfügt nicht über eine CE-Kennzeichnung, Produkt verfügt über eine CE-Kennzeichnung",,,
Breite,Maßangaben,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Geschlecht,Allgemein,STRING,False,NAVIGATION,MEDIUM,,,"neutral, männlich, weiblich",,
