name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Set-Info,Artikelbezeichnung,STRING,False,TITLE,LOW,,,,,
Batterie-/Akku-Technologie,Stromversorgung,STRING,False,PRODUCT_DETAILS,LOW,,"1,5-V-Micro (LR03/AAA), 1,2-V-Mignon (HR6/AA), 4,5-V-Flachbatterie (3LR12), 6-V-Flatpack (J), Nickel-Metallhydrid (NiMH)",,,
Lieferzustand Batterien / Akkus,Product Compliance,STRING,False,,LOW,,"Keine Batterien beigelegt, Batterien im Produkt eingebaut, Akkus im Produkt eingebaut, Batterie im Produkt eingebaut, Akku im Produkt eingebaut",,,
Relevanz Biozidproduktegesetz,Product Compliance,STRING,False,,LOW,,"Produkt fällt nicht unter das Biozidproduktegesetz, Produkt fällt unter das Biozidproduktegesetz",,,
Sprachen Bedienungs-/Aufbauanleitung,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Englisch (EN), Russisch (RU), Finnisch (FI), Rumänisch (RO)",,,
Anzahl Batterien,Stromversorgung,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"2, 1, 3, 4, 5",,,
Ausstattung,Details,STRING,True,PRODUCT_DETAILS,LOW,,"strapazierfähig, wasserabweisend, schmutzabweisend, atmungsaktiv, wasserfest",,,
Hinweis Maßangaben,Maße & Gewicht,STRING,False,PRODUCT_DETAILS,LOW,,Alle Angaben sind ca.-Maße.,,,
Serie Technischer Name,Serie,STRING,False,,LOW,,"MS#016643 Wirth, MS#010473 APELT, MS#005425 APELT, MS#007228 Wirth, MS#007123 Wirth",,,
Qualitätshinweise,Wissenswertes,STRING,False,PRODUCT_DETAILS,LOW,,"Hautfreundlich Schadstoffgeprüft, Bitte beachten Sie, dass die Farben auf Ihrem Monitor von den Originalfarbtönen abweichen können., Kleine Unregelmäßigkeiten, Knitteranfälligkeit sind unvermeidbare Eigenschaften dieses Naturproduktes, glatte Oberfläche, Glatte Oberfläche",,,
Serie,Serie,STRING,False,,MEDIUM,,"2500 Winterwelt, 1531 Winterwelt, SAMBA, 3606, 3610",,,
Durchmesser,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Anlässe,Allgemein,STRING,True,,LOW,,"Weihnachten, Ostern, Geburtstag, Hochzeit, Muttertag",,,
Motiv,Optik/Stil,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"Blumen, Schrift, Weihnachten, Sterne, Blätter",,,
Einsatzbereich,Wissenswertes,STRING,True,PRODUCT_DETAILS,LOW,,"Indoor, Outdoor",,,
Sprachen Pflegezusatzinformation Produkt,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Englisch (EN), Russisch (RU), Finnisch (FI), Rumänisch (RO)",,,
Sprachen Warnhinweise,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Englisch (EN), Russisch (RU), Finnisch (FI), Rumänisch (RO)",,,
Set-Typ,Artikelbezeichnung,STRING,False,TITLE,LOW,,"Set, Packung, Spar-Set",,,
Design,Optik/Stil,STRING,True,PRODUCT_DETAILS,LOW,,"uni, gemustert, unifarben, bedruckt, mit Motiv",,,
Länge,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, TOPINFO, PRODUCT_DETAILS",HIGH,,,,,
Sprachen CE-Konformitätserklärung,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Französisch (FR), Italienisch (IT), Norwegisch (NO), Litauisch (LT)",,,
Besondere Merkmale,Artikelbezeichnung,STRING,False,TITLE,MEDIUM,,"Digitaldruck, Gobelingewebe, Uni fleckabweisend, Glattes Gewebe, bedruckt, Uni Damast",,,
Pflegehinweise,Wissenswertes,STRING,True,PRODUCT_DETAILS,HIGH,,"30°C Schonwäsche, abwischbar, nicht trocknergeeignet, waschbar, 30°C Maschinenwäsche",,,
Form,Details,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,"eckig, rechteckig, quadratisch, rund, oval",,,
CE-Kennzeichnung am Produkt,Product Compliance,STRING,False,,LOW,,"Produkt verfügt nicht über eine CE-Kennzeichnung, Produkt verfügt über eine CE-Kennzeichnung",,,
Sprachen Materialzusammensetzung textiler Bestandteile,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Englisch (EN), Finnisch (FI), Französisch (FR), Russisch (RU)",,,
Relevanz CE-Pflicht,Product Compliance,STRING,False,,LOW,,"Produkt fällt nicht unter die CE-Pflicht, Produkt fällt unter die CE-Pflicht",,,
Produktkennzeichnungen,Product Compliance,STRING,True,,LOW,,"Artikelnummer, Seriennummer, Kennnummer der Partie, Rahmennummer, Typennummer",,,
Herstelleradresse (EWR) am Produkt,Product Compliance,STRING,False,,LOW,,"Produkt verfügt über eine Kennzeichnung mit der Herstelleradresse (EWR), Produkt verfügt nicht über eine Kennzeichnung mit der Herstelleradresse (EWR)",,,
Sprachen am Produkt,Product Compliance,STRING,True,,LOW,,"Deutsch (DE), Englisch (EN), Russisch (RU), Finnisch (FI), Rumänisch (RO)",,,
Materialzusammensetzung,Details,STRING,False,"LEGAL, PRODUCT_DETAILS",HIGH,,"Obermaterial: 100% Baumwolle, Obermaterial: 100% Polyester, Obermaterial: 70% Polyester, 30% Baumwolle, Obermaterial: 40% Polyester, 30% Baumwolle, 30% Polyacryl, 100% Baumwolle",,,
Breite,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, TOPINFO, PRODUCT_DETAILS",HIGH,,,,,
Transparenz,Details,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"blickdicht, halbtransparent, transparent",,,
Markeninformationen,Produktdetails,STRING,True,PRODUCT_DETAILS,LOW,,"Modern Glamour auf den Punkt gebracht: Dafür steht JOOP! LIVING. Die Home-Linie des international bekannten deutschen Lifestyle-Labels JOOP! hat sich vom Anbieter luxuriöser Wohntextilien zur umfassenden Möbel- und Accessoirekollektion entwickelt, die hochklassige Produkte für nahezu alle Interior-Bereiche präsentiert. Vielseitige Möbel treffen auf dekorative Accessoires. Mal pur und minimalistisch, mal mit einem Hauch Extravaganz. Die Bereiche LIVING ROOM, DINING ROOM, BEDROOM und BATHROOM sprechen dieselbe Designsprache und verschmelzen zu harmonischen Wohnwelten. Abwechslungsreich akzentuiert durch die Farben, Muster und Trends der neuen Saison, die sich auf Dekokissen, Wohndecken, Bettwäsche, Frottier und Badteppichen wiederfinden., Inspiriert von aktuellen Wohntrends bietet myhome immer neue Ideen und vielfältige Einrichtungsprodukte mit Wohlfühlgarantie. Und das modern und stilvoll zu Top-Preisen., andas Nordic Interior steht für skandinavische Leichtigkeit, reduziertes klares Design und eine hochwertige Verarbeitung. Die Verbundenheit zur Natur drückt die Marke durch die Verwendung von nordischen Hölzern und natürlichen Materialien aus – eine Bereicherung des Zuhauses um skandinavisches Lebensgefühl., Delavita verbindet stilvolles Einrichten mit Verlässlichkeit, Komfort und Modernität. Angetrieben von dem Anspruch, das Zuhause als Lebensmittelpunkt zu bereichern und zu verschönern, bietet die Marke alles, um sich rundherum wohlzufühlen., OTTO products ist eine modern-minimalistische Marke, deren Produkte den Anspruch in sich tragen, zeitlos und langlebig sowie natürlich und nachhaltig zu sein. Für OTTO products ist nicht die schnelle Umsetzung eines Trends bedeutend. Viel mehr zählen die Werte Beständigkeit, Fairness und Verantwortung - in den Produkten und deren Produktion.",,,
Geschlecht,Allgemein,STRING,False,NAVIGATION,HIGH,,,"neutral, männlich, weiblich",,
Themen,Allgemein,STRING,True,NAVIGATION,MEDIUM,,"Familienfest, Frühlingszeit, Winterzeit, erste eigene Wohnung, getestete Qualität",,erste eigene Wohnung,
Material,Details,STRING,False,"VARIATION_THEME, TOPINFO, FILTER, PRODUCT_DETAILS",HIGH,,"Polyester, Baumwolle, Vinyl, Polyacryl, Viskose",,,
Grundfarbe,Allgemein,STRING,True,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Farbe,Optik/Stil,STRING,False,"VARIATION_THEME, TOPINFO, PRODUCT_DETAILS",HIGH,,"weiß, grün, rot, grau, natur",,,
Höhe,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Wohnstil,Allgemein,STRING,False,NAVIGATION,LOW,,"klassisch, modern, Landhaus, Modern Design, Lodge-Stil",,"Modern Design, klassisch, Landhaus, Vintage",
Zielgruppe,Allgemein,STRING,False,NAVIGATION,HIGH,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
Wohnraum,Allgemein,STRING,True,,LOW,,"Esszimmer, Küche, Wohnzimmer, Schlafzimmer, Kinderzimmer",,,
Anzahl Teile,Lieferumfang,STRING,False,"TITLE, VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,"1, 4, 2, 6, 3",,,
