name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Farbe Packstück 3,Farbe,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,"weiß, meliert, schwarz, rosa, grau",,,
Art Push-up-Kissen,Körbchen / Cup,STRING,False,PRODUCT_DETAILS,LOW,,"Schaumstoffkissen, Gelkissen, Volumenkissen mit Wasser-Öl-Gemisch, Air-Kissen, Silikonkissen",,,
Herstellerpassform,Passform/Schnitt,STRING,False,PRODUCT_DETAILS,LOW,,"tight fit, Kompressionspassform, Kompressionspassform mit leichtem Halt, Eng anliegend geschnitten, Kompressionspassform; mittlerer Halt",,,
Serie,Serie,STRING,False,PRODUCT_DETAILS,LOW,,"Zero Feel, Wow Embrace, Palm Spotlight, AN-310, Mirage Spotlight",,,
Set-Typ,Artikelbezeichnung,STRING,False,,LOW,,"Packung, Set, Spar-Set",,,
Dekolletédetails,Dekolleté,STRING,True,PRODUCT_DETAILS,LOW,,"gefüttertes Dekolleté, vorgeformte Cups, mit Stillmöglichkeit, eingearbeitete BH-Schalen, mit Brustverstärkung",,,
Stillfunktion,Funktionen,STRING,False,PRODUCT_DETAILS,LOW,,"BH vorn zu öffnen, BH seitlich zu öffnen",,,
Schnittform,Passform/Schnitt,STRING,False,"NAVIGATION, PRODUCT_DETAILS",LOW,,"Balconette, Bustier, Bandeau, Triangel, High-Apex-BH",,"Triangel, Balconette, Bandeau",
Optik,Optik/Stil,STRING,True,PRODUCT_DETAILS,LOW,,"unifarben, glänzend, bedruckt, mehrfarbig, meliert",,"gestreift, kariert, Paisley, Batikmuster, Nadelstreifen, tarnfarben, ethno, animal-print",
Materialart,Material,STRING,False,"VARIATION_THEME, FILTER, NAVIGATION, SEARCH, PRODUCT_DETAILS",LOW,,"Spitze, Microtouch, Jersey, Stoff, Netz",,Spitze,
Anzahl Tragevarianten,BH-Träger,INTEGER,False,PRODUCT_DETAILS,LOW,,,,,
Verschlussdetails,Verschluss,STRING,False,PRODUCT_DETAILS,LOW,,"hinten, vorn, seitlich, Schiebeknopf bis Gr. 134, mit Windschutzblende",,,
Auslieferung,Auslieferung,STRING,False,PRODUCT_DETAILS,LOW,,"liegend, hängend",,,
Dekolleté,Dekolleté,STRING,False,PRODUCT_DETAILS,LOW,,"Rundhals, V-Ausschnitt, Balconnet, U-Boot-Ausschnitt, herzförmiger Ausschnitt",,,
Material Bügel,Material,STRING,False,PRODUCT_DETAILS,LOW,,"Kunststoff, Gel, Metall, Silikon",,,
Herstellertechnologien,Material,STRING,True,"FILTER, NAVIGATION, SEARCH, PRODUCT_DETAILS",LOW,,"SpeedWick, COOLMAX®, AEROREADY, Dri-FIT, climacool®",,"AEROREADY, DOWN, SNAP-IN-SYSTEM, climacool®, EXTRA-LONG SYSTEM ZIP, windCELL, RAIN.RDY, ALTAI FLEECE MEDIUM, NANUK 200, MICROGUARD MAXLOFT, Fubu tex, TECNOPILE®, Dri-FIT, MICROGUARD SILVER, SOFT SHELL STRETCH, PFC FREE, DOWNFIBER, TEXAPORE Stretch, SNUGGLE UP, HIGH QUALITY DOWN, STORMLOCK, UPF Protection 30, WIND.RDY, TEXAPORE 4x4, Vent Pro System, COLD.RDY, MICROGUARD MAXLOFT Q.M.C., Kids/Youth System Zip, UV SHIELD, climaproof®, PlayWarm, powerCELL, climalite® Cotton, ALTAI FLEECE SUPER WARM, ColdGear®, 3-in-1 SYSTEM REGULAR, ARMATECH PLUS, VENTBREAK, TEXAPORE O2, 3-in-1 SYSTEM SHORT, FIBERCLOUD, Stormlock Hyproof, bluesign®, S. CAFÉ®, UPF Protection 15, FAIR WEAR FOUNDATION, THINSULATE, climachill™, coolCELL, FUNCTION 65, NANUK 100, ALTAI FLEECE MICRO, NANUK 300, dryCELL, HyVent®, Regular Zip for System Jackets, Polartec®, ZipIn!, NANUK 150, VENTLOFT, WINDSTOPPER®, QuickDry, TEXAPORE, UPF Protection 50, UV-PROTECTION, PlayIce, climalite®, PlayShield, ACS TIGHT, S-FRESH, climaheat™, HEAT.RDY, NANUK DYNAMIC, TECNOWOOL, Allseasongear®, Q.M.C., GORE-TEX®, SUPPLEX®, techfit™, ACS, Short Zip for System Jackets, Stormlock Active, DRYNETIC, warmCELL, PRIMALOFT® BLACK ECO, climalite®+, climawarm®, VENTURI",
Empfohlen für Cupgröße,Passform/Schnitt,STRING,True,PRODUCT_DETAILS,LOW,,"A-B, A-C, B-C, B-D, ca. A-B",,,
Passform,Passform/Schnitt,STRING,False,PRODUCT_DETAILS,LOW,,"sehr figurbetont, comfort fit, slim fit, figurbetont, Basic",,,
Größentyp,Maßangaben,STRING,False,,LOW,,Normalgrößen,,,
Funktionen,Funktionen,STRING,False,"VARIATION_THEME, NAVIGATION, PRODUCT_DETAILS",LOW,,"verkleinert optisch die Brüste, Entlastung der Schultern, vergrößert optisch die Brüste",,"Entlastung der Schultern, vergrößert optisch die Brüste, verkleinert optisch die Brüste",
Größenhinweis,Maßangaben,STRING,False,PRODUCT_DETAILS,LOW,,"Fällt klein aus, bitte eine Größe größer bestellen., Fällt eng aus, bitte eine Größe größer bestellen., Fällt groß aus, bitte eine Größe kleiner bestellen., Cup fällt klein aus, bitte ein Cup größer bestellen., Fällt sehr weit aus, bitte zwei Größen kleiner bestellen.",,,
Applikationen,Optik/Stil,STRING,True,PRODUCT_DETAILS,LOW,,"Logodruck, Logoschriftzug, Schleife, Logoschriftzüge, Mesheinsatz",,,
