name,attributeGroup,type,multiValue,featureRelevance,relevance,description,exampleValues,allowedValues,recommendedValues,reference
Serie,Serie,STRING,False,,LOW,,,,,
Besondere Merkmale,Produktdetails,STRING,False,TITLE,LOW,,,,,
Set-Info,Produktdetails,STRING,False,TITLE,LOW,,,,,
Materialzusammensetzung,Farbe & Material,STRING,False,PRODUCT_DETAILS,LOW,,,,,
Geeigneter Bodenbelag,Produktdetails,STRING,False,PRODUCT_DETAILS,LOW,,Laminat; Parkettböden,,,
Herstellergarantie,Produktdetails,STRING,False,PRODUCT_DETAILS,LOW,,"10 Jahre gemäß den Garantie-Bedingungen, 7 Jahre gemäß den Garantie-Bedingungen, 5 Jahre gemäß den Garantie-Bedingungen, 6 Jahre gemäß den Garantie-Bedingungen, 8 Jahre gemäß den Garantie-Bedingungen",,,
Breite,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Stärke,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",LOW,,,,,
Einsatzbereich,Produktdetails,STRING,True,PRODUCT_DETAILS,LOW,,"innen, Feuchtraumbereich, Wohnbereiche, Auto, Wohnmobil",,,
Betriebsdruck,Technische Daten,FLOAT,False,PRODUCT_DETAILS,LOW,,,,,
Länge,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Installationshinweis,Hinweise,STRING,False,PRODUCT_DETAILS,HIGH,,"E-Anschluss nur durch Elektrofachkraft, Anschluss nur durch Fachbetrieb, Anschlussfertig mit Schukostecker",,,
Aufbauhöhe,Maße & Gewicht,FLOAT,False,PRODUCT_DETAILS,MEDIUM,,,,,
Set-Typ,Produktdetails,STRING,False,TITLE,MEDIUM,,"Packung, Set, Komplett-Set, Spar-Set",,,
Gewicht,Maße & Gewicht,FLOAT,True,PRODUCT_DETAILS,MEDIUM,,,,,
Betriebsart,Technische Daten,STRING,False,PRODUCT_DETAILS,LOW,,"elektrisch, Warmwasseranschluss, Batteriebetrieb",,,
Heizfläche,Maße & Gewicht,FLOAT,False,"VARIATION_THEME, PRODUCT_DETAILS",HIGH,,,,,
Heizleistung maximal,Technische Daten,FLOAT,True,PRODUCT_DETAILS,MEDIUM,,,,,
Hinweis Lieferumfang,Hinweise,STRING,True,PRODUCT_DETAILS,LOW,,"Befestigungsmaterial nicht im Lieferumfang enthalten, Thermostat und Befestigungsmaterial nicht im Lieferumfang enthalten, Thermostat nicht im Lieferumfang enthalten",,,
Eigenschaften,Produktdetails,STRING,True,PRODUCT_DETAILS,LOW,,"geringe Aufbauhöhe, selbstklebend, spritzwassergeschützt, fixierter Rohrabstand, selbstklebende Gewebematte",,,
Artikelhinweise,Hinweise,STRING,True,PRODUCT_DETAILS,HIGH,,Alle Angaben sind ca.-Angaben,,,
Lieferumfang,Produktdetails,STRING,True,PRODUCT_DETAILS,LOW,,"Verlegematerial, Verlegeanleitung, Bedienungsanleitung",,,
Farbe,Farbe & Material,STRING,False,"VARIATION_THEME, PRODUCT_DETAILS",MEDIUM,,"schwarz, grün, blau, orange, hellblau",,,
Geschlecht,Allgemein,STRING,False,NAVIGATION,HIGH,,,"neutral, männlich, weiblich",,
Grundfarbe,Farbe & Material,STRING,False,FILTER,HIGH,,,"lila, gelb, natur, schwarz, grün, silberfarben, grau, blau, braun, orange, weiß, goldfarben, rot, bunt, rosa",,
Zielgruppe,Allgemein,STRING,True,NAVIGATION,HIGH,,,"zielgruppenunabhängig, Babys, Jugendliche, Kinder, Erwachsene",,
